box;period;status;comment
4;2025;задолженность по взносам;сумма уточняется по закрытому реестру
7;2025;задолженность по взносам;сумма уточняется по закрытому реестру
10;2025;задолженность по взносам;сумма уточняется по закрытому реестру
13;2025;задолженность по взносам;сумма уточняется по закрытому реестру
17;2025;задолженность по взносам;сумма уточняется по закрытому реестру
23;2025;задолженность по взносам;сумма уточняется по закрытому реестру
24;2025;задолженность по взносам;сумма уточняется по закрытому реестру
28;2025;задолженность по взносам;сумма уточняется по закрытому реестру
29;2025;задолженность по взносам;сумма уточняется по закрытому реестру
30;2025;задолженность по взносам;сумма уточняется по закрытому реестру
34;2025;задолженность по взносам;сумма уточняется по закрытому реестру
47;2025;задолженность по взносам;сумма уточняется по закрытому реестру
48;2025;задолженность по взносам;сумма уточняется по закрытому реестру
49;2025;задолженность по взносам;сумма уточняется по закрытому реестру
55;2025;задолженность по взносам;сумма уточняется по закрытому реестру
56;2025;задолженность по взносам;сумма уточняется по закрытому реестру
57;2025;задолженность по взносам;сумма уточняется по закрытому реестру
58;2025;задолженность по взносам;сумма уточняется по закрытому реестру
71;2025;задолженность по взносам;сумма уточняется по закрытому реестру
72;2025;задолженность по взносам;сумма уточняется по закрытому реестру
74;2025;задолженность по взносам;сумма уточняется по закрытому реестру
76;2025;задолженность по взносам;сумма уточняется по закрытому реестру
78;2025;задолженность по взносам;сумма уточняется по закрытому реестру
81;2025;задолженность по взносам;сумма уточняется по закрытому реестру
84;2025;задолженность по взносам;сумма уточняется по закрытому реестру
92;2025;задолженность по взносам;сумма уточняется по закрытому реестру
93;2025;задолженность по взносам;сумма уточняется по закрытому реестру
97;2025;задолженность по взносам;сумма уточняется по закрытому реестру
112;2025;задолженность по взносам;сумма уточняется по закрытому реестру
119;2025;задолженность по взносам;сумма уточняется по закрытому реестру
121;2025;задолженность по взносам;сумма уточняется по закрытому реестру
122;2025;задолженность по взносам;сумма уточняется по закрытому реестру
124;2025;задолженность по взносам;сумма уточняется по закрытому реестру
125;2025;задолженность по взносам;сумма уточняется по закрытому реестру
128;2025;задолженность по взносам;сумма уточняется по закрытому реестру
133;2025;задолженность по взносам;сумма уточняется по закрытому реестру
201;2025;задолженность по взносам;сумма уточняется по закрытому реестру
204;2025;задолженность по взносам;сумма уточняется по закрытому реестру
225;2025;задолженность по взносам;сумма уточняется по закрытому реестру
226;2025;задолженность по взносам;сумма уточняется по закрытому реестру
227;2025;задолженность по взносам;сумма уточняется по закрытому реестру
238;2025;задолженность по взносам;сумма уточняется по закрытому реестру
239;2025;задолженность по взносам;сумма уточняется по закрытому реестру
240;2025;задолженность по взносам;сумма уточняется по закрытому реестру
241;2025;задолженность по взносам;сумма уточняется по закрытому реестру
245;2025;задолженность по взносам;сумма уточняется по закрытому реестру
247;2025;задолженность по взносам;сумма уточняется по закрытому реестру
248;2025;задолженность по взносам;сумма уточняется по закрытому реестру
250;2025;задолженность по взносам;сумма уточняется по закрытому реестру
251;2025;задолженность по взносам;сумма уточняется по закрытому реестру
254;2025;задолженность по взносам;сумма уточняется по закрытому реестру
260;2025;задолженность по взносам;сумма уточняется по закрытому реестру
267;2025;задолженность по взносам;сумма уточняется по закрытому реестру
273;2025;задолженность по взносам;сумма уточняется по закрытому реестру
274;2025;задолженность по взносам;сумма уточняется по закрытому реестру
277;2025;задолженность по взносам;сумма уточняется по закрытому реестру
278;2025;задолженность по взносам;сумма уточняется по закрытому реестру
